S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
0,Maruti Wagon R LXI CNG,Johannesburg,2030,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,,1.75
1,Hyundai Creta 1.6 CRDi SX Option,Maputo,2035,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,12.5
2,Honda Jazz V,Lilongwe,2031,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,8.61 River,4.5
3,Maruti Ertiga VDI,Lilongwe,2032,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,6
4,Audi A4 New 2.0 TDI Multitronic,Harare,2033,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,,17.74
5,Hyundai EON LPG Era Plus Option,Dodoma,2032,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5,,2.35
6,Nissan Micra Diesel XV,Arusha,2033,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,3.5
7,Toyota Innova Crysta 2.8 GX AT 8S,Johannesburg,2036,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,21 River,17.5
8,Volkswagen Vento Diesel Comfortline,Maputo,2033,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,,5.2
9,Tata Indica Vista Quadrajet LS,Lilongwe,2032,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,1.95
10,Maruti Ciaz Zeta,Gaborone,2038,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5,10.65 River,9.95
11,Honda City 1.5 V AT Sunroof,Lusaka,2032,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5,,4.49
12,Maruti Swift VDI BSIV,Arusha,2035,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,5.6
13,Land Rover Range Rover 2.2L Pure,Nairobi,2034,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,,27
14,Land Rover Freelander 2 TD4 SE,Maputo,2032,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,,17.5
15,Mitsubishi Pajero Sport 4X4,Nairobi,2034,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,32.01 River,15
16,Honda Amaze S i-Dtech,Gaborone,2036,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,5.4
17,Maruti Swift DDiS VDI,Arusha,2037,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,5.99
18,Renault Duster 85PS Diesel RxL Plus,Gaborone,2034,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,,6.34
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Kigali,2034,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,,28
20,BMW 3 Series 320d,Gaborone,2034,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,47.87 River,18.55
21,Maruti S Cross DDiS 200 Alpha,Kigali,2035,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5,,8.25
22,Audi A6 2011-2015 35 TFSI Technology,Johannesburg,2035,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,,23.5
23,Hyundai i20 1.2 Magna,Lusaka,2030,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,1.87
24,Volkswagen Vento Petrol Highline AT,Lusaka,2030,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,,2.85
25,Honda City Corporate Edition,Johannesburg,2032,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,,4.25
26,Nissan Micra Diesel XV,Dodoma,2032,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,4.25
27,Maruti Alto K10 2010-2014 VXI,Dodoma,2033,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,,2.75
28,Honda WRV i-VTEC VX,Gaborone,2038,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,10.57 River,9.9
29,Toyota Innova 2.5 V Diesel 7-seater,Johannesburg,2027,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,,4
30,Renault Duster 110PS Diesel RxZ Pack,Kigali,2033,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,,7.75
31,Toyota Corolla Altis G,Nairobi,2032,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,,6.75
32,Mahindra Ssangyong Rexton RX7,Kigali,2033,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,,12.5
33,Audi A6 2.7 TDI,Lusaka,2030,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,,11.5
34,Volkswagen Vento 1.6 Highline,Harare,2034,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,12.33 River,6.98
35,Maruti Wagon R LXI BSIII,Arusha,2029,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,,1.85
36,Maruti Vitara Brezza ZDi Plus,Gaborone,2038,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.12 River,8.63
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Nairobi,2037,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,,4.85
38,Mercedes-Benz M-Class ML 350 CDI,Maputo,2033,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,,28
39,Volkswagen Polo Diesel Trendline 1.2L,Lilongwe,2033,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,5
40,Maruti Alto LXi,Nairobi,2028,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,1.25
41,Tata Nano LX SE,Gaborone,2034,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,,1.53
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Harare,2037,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,,5.58
43,Hyundai i20 Magna Optional 1.2,Gaborone,2034,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,,4.74
44,Hyundai Elantra 2.0 SX Option AT,Kigali,2034,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,23.64 River,8.85
45,Toyota Corolla Altis G AT,Johannesburg,2036,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,,10.11
46,Hyundai Elantra CRDi,Durban,2028,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,,4.25
47,Toyota Innova Crysta 2.7 GX MT,Kigali,2032,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,18.64 River,10.95
48,Hyundai Xcent 1.1 CRDi S,Arusha,2034,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,,3.85
49,Mahindra Thar CRDe AC,Arusha,2032,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,,5.5
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Gaborone,2035,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,,21.43
51,Maruti Swift LDI,Nairobi,2034,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,4.25
52,Maruti Swift Ldi BSIV,Lusaka,2034,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,,3.3
53,Maruti Swift VDI,Nairobi,2033,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,3.85
54,Hyundai Grand i10 Sportz,Lilongwe,2035,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,,3.6
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Lusaka,2035,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,,3.99
56,Renault KWID RXT,Gaborone,2037,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,,3.3
57,Hyundai i10 Asta,Lusaka,2030,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.07
58,Nissan X-Trail SLX AT,Dodoma,2030,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,,7.75
59,Maruti Zen Estilo VXI BSIII,Dodoma,2030,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,,2.25
60,Toyota Innova Crysta 2.4 GX MT 8S,Johannesburg,2037,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,19.34 River,16.5
61,Ford Figo Diesel Titanium,Kigali,2030,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.75
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Nairobi,2035,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,,26.7
63,Mercedes-Benz New C-Class 200 CDI Classic,Maputo,2031,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,,10
64,Tata Indica V2 eLS,Lilongwe,2036,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,,2.5
65,Audi A4 2.0 TDI Multitronic,Arusha,2032,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,,13.5
66,Honda City ZX CVT,Johannesburg,2027,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,,1.85
67,Mercedes-Benz C-Class Progressive C 220d,Harare,2039,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,49.14 River,35.67
68,Maruti Ertiga SHVS VDI,Maputo,2036,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,,8.15
69,Hyundai Creta 1.4 E Plus Diesel,Johannesburg,2038,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,11.81 River,10.5
70,Porsche Cayenne 2009-2014 Turbo,Johannesburg,2028,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,,14.5
